row_label,strat_type,sex,value,breakdown_cat_label,breakdown_var,outcome_var,table_id
CE - Fabbricazione di sostanze e prodotti chimici,sector,Total,17.5,upper secondary,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Total,23,tertiary,education,hourly_wage,Tav.1
CE - Fabbricazione di sostanze e prodotti chimici,sector,Total,18.1,total,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Female,14.6,≤ lower secondary,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Female,16.7,upper secondary,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Female,20.9,tertiary,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Female,19,total,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Male,16.3,≤ lower secondary,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Male,18.2,upper secondary,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Male,25.2,tertiary,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Male,20.4,total,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Total,15.8,≤ lower secondary,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Total,17.8,upper secondary,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Total,22.9,tertiary,education,hourly_wage,Tav.1
"CF - Produzione di articoli farmaceutici, chimico-medicinali e botanici",sector,Total,19.8,total,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Female,12.1,≤ lower secondary,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Female,13.9,upper secondary,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Female,16.5,tertiary,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Female,13.9,total,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Male,13.5,≤ lower secondary,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Male,15.5,upper secondary,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Male,23.9,tertiary,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Male,15.5,total,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Total,13.3,≤ lower secondary,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Total,15.1,upper secondary,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Total,21.1,tertiary,education,hourly_wage,Tav.1
CG - Produzione di articoli in gomma e materie plastiche,sector,Total,15.1,total,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,11.6,≤ lower secondary,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,13.2,upper secondary,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,16.8,tertiary,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Female,13.4,total,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,13,≤ lower secondary,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,14.3,upper secondary,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,20.9,tertiary,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Male,14.2,total,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Total,12.9,≤ lower secondary,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Total,14.1,upper secondary,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Total,19.5,tertiary,education,hourly_wage,Tav.1
CH - Fabbricazione di metalli di base e lavorazione di prodotti in metallo,sector,Total,14.1,total,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Female,10.9,≤ lower secondary,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Female,13.5,upper secondary,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Female,18.6,tertiary,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Female,14.3,total,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Male,13.4,≤ lower secondary,education,hourly_wage,Tav.1
"CI - Fabbricazione di computer, apparecchi elettronici e ottici",sector,Male,16.7,upper secondary,education,hourly_wage,Tav.1
